,Rk,Team,G,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,2P,2PA,2P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
491,23.0,Indiana Pacers*,82,19730,2786,6274,0.444,536,1536,0.349,2250,4738,0.475,1591,2158,0.737,898,2559,3457,1631,598,409,1254,1821,7699,93.9
492,24.0,New Jersey Nets*,82,19780,2778,6317,0.44,477,1447,0.33,2301,4870,0.47200000000000003,1658,2187,0.758,822,2539,3361,1884,558,278,1119,1903,7691,93.8
493,25.0,New Orleans/Oklahoma City Hornets,82,19805,2831,6428,0.44,300,885,0.33899999999999997,2531,5543,0.457,1649,2176,0.758,918,2379,3297,1519,611,311,1095,1786,7611,92.8
494,26.0,Utah Jazz,82,19880,2744,6207,0.442,311,925,0.336,2433,5282,0.461,1774,2466,0.7190000000000001,1071,2380,3451,1772,524,492,1290,2032,7573,92.4
495,27.0,Memphis Grizzlies*,82,19855,2746,6125,0.44799999999999995,590,1578,0.374,2156,4547,0.474,1476,2077,0.711,834,2379,3213,1586,600,442,1134,1757,7558,92.2
496,28.0,Minnesota Timberwolves,82,19855,2888,6340,0.456,310,942,0.32899999999999996,2578,5398,0.478,1436,1895,0.758,811,2422,3233,1716,559,471,1189,1889,7522,91.7
497,29.0,Houston Rockets,82,19830,2708,6252,0.433,469,1414,0.332,2239,4838,0.46299999999999997,1502,1980,0.759,849,2565,3414,1580,588,320,1193,1863,7387,90.1
498,30.0,Portland Trail Blazers,82,19730,2791,6267,0.445,364,1042,0.349,2427,5225,0.46399999999999997,1339,1944,0.6890000000000001,886,2203,3089,1490,529,435,1205,1828,7285,88.8
499,,League Average,82,19852,2939,6477,0.45399999999999996,470,1310,0.358,2469,5167,0.478,1607,2157,0.745,916,2442,3358,1690,588,385,1182,1866,7955,97.0
500,1.0,Phoenix Suns*,82,19905,3388,6855,0.494,785,1965,0.39899999999999997,2603,4890,0.532,1476,1827,0.8079999999999999,737,2583,3320,2122,553,394,1189,1659,9037,110.2
501,2.0,Golden State Warriors*,82,19755,3261,7048,0.46299999999999997,700,1967,0.35600000000000004,2561,5081,0.504,1515,2113,0.7170000000000001,940,2456,3396,1950,750,466,1309,1933,8737,106.5
502,3.0,Denver Nuggets*,82,19780,3164,6805,0.465,484,1440,0.336,2680,5365,0.5,1827,2449,0.746,1001,2558,3559,1920,678,435,1352,1756,8639,105.4
503,4.0,Washington Wizards*,82,19830,3070,6820,0.45,561,1614,0.348,2509,5206,0.48200000000000004,1855,2425,0.765,998,2379,3377,1660,635,375,1133,1823,8556,104.3
504,5.0,Los Angeles Lakers*,82,20030,3103,6664,0.466,608,1724,0.353,2495,4940,0.505,1660,2221,0.747,886,2495,3381,1850,600,421,1273,1889,8474,103.3
505,6.0,Memphis Grizzlies,82,19980,2998,6448,0.465,500,1362,0.36700000000000005,2498,5086,0.491,1835,2410,0.7609999999999999,866,2375,3241,1680,564,407,1343,1827,8331,101.6
506,7.0,Utah Jazz*,82,19805,3069,6471,0.474,354,1056,0.335,2715,5415,0.501,1830,2462,0.743,1030,2456,3486,2024,577,339,1277,2067,8322,101.5
507,8.0,Sacramento Kings,82,19805,2941,6532,0.45,530,1513,0.35,2411,5019,0.48,1891,2473,0.765,797,2396,3193,1665,671,265,1194,1792,8303,101.3
508,9.0,Dallas Mavericks*,82,19755,3010,6442,0.467,535,1404,0.381,2475,5038,0.491,1646,2045,0.805,920,2515,3435,1632,560,408,1140,1837,8201,100.0
509,10.0,Milwaukee Bucks,82,19855,3121,6714,0.465,524,1472,0.35600000000000004,2597,5242,0.495,1406,1919,0.733,941,2272,3213,1771,587,224,1240,1821,8172,99.7
510,11.0,Toronto Raptors*,82,19755,3032,6547,0.46299999999999997,531,1464,0.363,2501,5083,0.49200000000000005,1562,1982,0.7879999999999999,755,2480,3235,1822,581,321,1104,1672,8157,99.5
511,12.0,Seattle SuperSonics,82,19830,3047,6628,0.46,525,1451,0.36200000000000004,2522,5177,0.48700000000000004,1511,1911,0.7909999999999999,928,2322,3250,1695,631,301,1268,1801,8130,99.1
512,13.0,Chicago Bulls*,82,19780,3046,6663,0.457,480,1237,0.38799999999999996,2566,5426,0.473,1528,2083,0.7340000000000001,984,2597,3581,1832,639,445,1310,1908,8100,98.8
513,14.0,San Antonio Spurs*,82,19780,2999,6328,0.474,595,1561,0.381,2404,4767,0.504,1486,1980,0.7509999999999999,761,2577,3338,1814,587,417,1137,1588,8079,98.5
514,15.0,New Jersey Nets*,82,19880,2913,6379,0.457,609,1676,0.363,2304,4703,0.49,1566,2153,0.727,822,2525,3347,1962,499,273,1212,1869,8001,97.6
515,16.0,New York Knicks,82,20005,2903,6356,0.457,474,1370,0.34600000000000003,2429,4986,0.48700000000000004,1714,2396,0.715,1032,2516,3548,1532,543,260,1405,1932,7994,97.5
516,17.0,Houston Rockets*,82,19855,2906,6528,0.445,705,1893,0.37200000000000005,2201,4635,0.475,1436,1906,0.753,880,2673,3553,1704,583,337,1162,1710,7953,97.0
517,18.0,Charlotte Bobcats,82,20005,2960,6643,0.446,457,1280,0.35700000000000004,2503,5363,0.467,1568,2136,0.7340000000000001,920,2346,3266,1836,638,369,1224,1985,7945,96.9
518,19.0,Cleveland Cavaliers*,82,19880,2978,6658,0.447,494,1404,0.35200000000000004,2484,5254,0.473,1484,2133,0.696,1039,2529,3568,1708,625,353,1177,1781,7934,96.8
519,20.0,Minnesota Timberwolves,82,20005,2997,6503,0.461,384,1089,0.353,2613,5414,0.483,1499,1892,0.792,819,2474,3293,1848,532,325,1278,1758,7877,96.1
520,21.0,Detroit Pistons*,82,19880,2942,6484,0.45399999999999996,449,1305,0.344,2493,5179,0.48100000000000004,1539,1988,0.774,948,2374,3322,1768,583,472,1001,1672,7872,96.0
521,22.0,Boston Celtics,82,19855,2858,6454,0.44299999999999995,471,1283,0.36700000000000005,2387,5171,0.462,1670,2178,0.767,918,2391,3309,1630,589,382,1350,1971,7857,95.8
522,23.0,Indiana Pacers,82,19780,2872,6561,0.43799999999999994,481,1389,0.34600000000000003,2391,5172,0.462,1615,2125,0.76,990,2441,3431,1680,599,447,1335,1912,7840,95.6
523,24.0,Los Angeles Clippers,82,19730,2880,6318,0.456,314,903,0.348,2566,5415,0.474,1769,2245,0.7879999999999999,888,2484,3372,1762,596,472,1239,1858,7843,95.6
524,25.0,New Orleans/Oklahoma City Hornets,82,19880,2971,6674,0.445,455,1256,0.36200000000000004,2516,5418,0.46399999999999997,1436,1941,0.74,1025,2512,3537,1537,522,347,1187,1620,7833,95.5
525,26.0,Philadelphia 76ers,82,19880,2932,6408,0.45799999999999996,284,823,0.345,2648,5585,0.474,1637,2135,0.767,899,2353,3252,1669,590,390,1258,1671,7785,94.9
526,27.0,Orlando Magic*,82,19780,2875,6090,0.47200000000000003,342,962,0.35600000000000004,2533,5128,0.494,1679,2393,0.7020000000000001,920,2418,3338,1525,565,416,1392,1904,7771,94.8
527,28.0,Miami Heat*,82,19855,2919,6288,0.46399999999999997,528,1539,0.34299999999999997,2391,4749,0.503,1393,2019,0.69,817,2526,3343,1681,566,442,1201,1749,7759,94.6
528,29.0,Portland Trail Blazers,82,19955,2874,6392,0.45,426,1232,0.34600000000000003,2448,5160,0.474,1543,2006,0.769,923,2299,3222,1513,555,380,1236,1931,7717,94.1
529,30.0,Atlanta Hawks,82,19880,2831,6372,0.444,341,1038,0.32899999999999996,2490,5334,0.467,1677,2203,0.7609999999999999,976,2312,3288,1573,609,446,1306,1970,7680,93.7
530,,League Average,82,19858,2995,6536,0.45799999999999996,498,1389,0.358,2498,5147,0.485,1608,2138,0.752,912,2454,3366,1746,594,378,1241,1822,8097,98.7
531,1.0,Golden State Warriors,82,19780,3403,7406,0.45899999999999996,761,2185,0.348,2642,5221,0.506,1538,2044,0.752,1045,2496,3541,1833,744,377,1082,1875,9105,111.0
532,2.0,Denver Nuggets*,82,19855,3307,7038,0.47,569,1605,0.355,2738,5433,0.504,1891,2519,0.7509999999999999,918,2698,3616,2024,752,551,1203,1731,9074,110.7
533,3.0,Phoenix Suns*,82,19780,3392,6782,0.5,694,1764,0.39299999999999996,2698,5018,0.5379999999999999,1548,1977,0.7829999999999999,720,2683,3403,2188,532,518,1184,1633,9026,110.1
534,4.0,Los Angeles Lakers*,82,19780,3248,6818,0.47600000000000003,662,1751,0.37799999999999995,2586,5067,0.51,1746,2270,0.769,898,2722,3620,2003,654,438,1156,1691,8904,108.6
535,5.0,Utah Jazz*,82,19705,3279,6592,0.49700000000000005,407,1095,0.37200000000000005,2872,5497,0.522,1745,2298,0.759,942,2410,3352,2165,717,355,1200,1970,8710,106.2
536,6.0,Orlando Magic*,82,19780,3058,6446,0.474,801,2074,0.386,2257,4372,0.516,1650,2288,0.721,768,2677,3445,1706,520,333,1173,1688,8567,104.5
537,7.0,Indiana Pacers,82,19755,3102,6993,0.444,755,2021,0.374,2347,4972,0.47200000000000003,1568,2042,0.768,904,2633,3537,1864,623,412,1236,1921,8527,104.0
538,8.0,Sacramento Kings,82,19830,3043,6558,0.46399999999999997,510,1367,0.373,2533,5191,0.488,1812,2272,0.7979999999999999,829,2456,3285,1567,651,334,1317,1839,8408,102.5
539,9.0,New Orleans Hornets*,82,19805,3164,6796,0.466,630,1621,0.389,2534,5175,0.49,1312,1707,0.769,937,2494,3431,1785,637,321,974,1531,8270,100.9
540,10.0,Memphis Grizzlies,82,19805,3060,6737,0.45399999999999996,620,1779,0.349,2440,4958,0.49200000000000005,1517,2097,0.723,848,2567,3415,1574,503,386,1251,1592,8257,100.7
